2.ふたりの老女の会話

録音年月　1964年6月
録音場所　話し手1の自宅

（5） 「無題」

話し手
（略号）　（性別）　（年令）　（職業）　（居住歴）
　１　　　　女　　　　60台　　　無職　　　はえぬき
　３　　　　女　　　　50台　　　無職　　　はえぬき

解説：ふたりの老女がとりとめもなく、それぞれが、自分の身辺や
過去・現在の心境について語っている。

1105003|１|atasi konooro nee （３ ee） zibuNdemo ne （３　hNN） sonai nee wakaqtete sosite sioea sono saa sonobani naru cjuuto nakanaka sono sorea sonoomou jooni nee  （３ hai） kotoa hakadoraNto （３ hNN） juu kotowa jaqpari mada zibuNni soidakeno nee （３ hee） cikaraa nainokai naato omotewa （３ hNN） konoorowa mo hitoo miru cjuu kotowa seNto ne （３ hNN） naNdemo kademo ko mina kora watasia waruinja kora watasia mada dekite nainojato juu huuni toruto nee （３ hee） naNka kia raqkuni naqte kuruno （３ haahaa） hNde ma konooro atasi ne sono kia rakuna cjuu kotoa icibaN （３  hee） siawasena jooni nee （３ atasimo soo omoimasu） omoidasite kite nee （３ haa haa） de moo korekara moo aNta jaqpari kono zibuNno kisicua naNja kaani koo nebaqte kimasudesjoo （３ NN NN） hoNde kjoo nee atasii mijatakesaNtokoemo na （３ hNN） "sarasarato kisicuno nebari jonaureba kuru jorokobimo todokoori nasi" to juunoo ne （３ hNNhNN） hejani kaketaNdeqse|あたし　このごろ　ねえ、（３　ええ）　自分でも　ね、そんなに　ねえ　わかっていて　そして　それが　その　さあ　その場に　なる　というと　なかなか　その　それが　その　思う　ように　ねえ、（３　はい）　事が　はかどらないと　いう　ことは　やっぱり　まだ　自分に　それだけの　ねえ　力が　ないのか　なあと　思っては　このごろは　もう　人を　見る　という　ことは　しないで　ねえ、何でも　かでも　こう　皆　これは　わたしが　悪いんだ　これは　わたしが　まだ　できて　いないんだと　いう　ふうに　とると　ねえ、何か　気が　楽に　なって　くるの。それで　このごろ　あたし　ね　その　気が　楽だ　という　ことが　一番　しあわせな　ように　ねえ　（３　あたしも　そう　思います）　思いだして　きて　ねえ　で　もう　これから　もう　あんた　やっぱり　この　自分の　気質が　なにや　かにや　こう　ねばって　きますでしょう。それで　きょう　ねえ　あたし　宮武さんのところへ　ね　「さらさらと　気質の　ねばり　よなぐれば　来る　喜びも　とどこおり　なし」　と　いうのを　ね　部屋に　かけたんですよ。
1105102|３|aa soo desuka|ああ　そう　ですか。
1105103|１|hote jaaqto ne （３ hee） ma soede konaidakara ne kimocia saraaqto sitekara （３ hNN） jaqpari nee （３ hNN） atasi jokaqta sono cumoride sono ma mijatakesaNni na （３ hNN） niqcjoobino kotomo na （３ hNN） anoo siq iqpeN nee （３ hee） … watasimo cjooriN ikimasusakaini （３ ee） de mo aNtamo kite okurjasu juute ne （３ hee） qte ma kimocijoo sono （３ hee） oha ohanasia （３ hee） dekeru （３ hee） joni narimahite ne|そして　やっと　ね　ま　それで　このあいだから　ね　気持が　さらっと　してから　やっぱり　ねえ　あたし　よかった…　その　つもりで　その　ま　宮武さんに　ね　日曜日の　ことも　ね　あの　一ぺん　ね　わたしも　…へ　行きますから　で　もう　あなたも　来て　くださる　なと　ね　って　ま　気持よく　その　お話が　できる　ように　なりまして　ね。
1105110|３|soo dosuka hee|そう　ですか　へえ。
1105111|１|jaqpari sono zibuNno kimocia nee （３ hee） siNkara koo kireeni naraNto kucisakide ikura juutakate nee （３ hNN） sokowa mukoe piiNto hibiite kimasudesjo|やっぱり　その　自分の　気持が　ね、芯から　こう　きれいに　ならないと　口先で　いくら　いっても　ね　そこは　向こうへ　ピーンと　ひびいて　きますでしょ1105114|３|sora soo dosuwa na （１ hNN）|そりゃ　そう　ですよ　ね。
1105115|１|de kono watasimo soo omouno （３ uN） jaqpari omooteru kototo siteru kototoa nee （３ hee） nakanaka sono iqci suruto juu kotoa mucukasi osu naa|やっぱり　思っている　ことと　している　こととが　ね　なかなか　そんな　一致　すると　いう　ことが　むずかしい　です　ねえ。
1105202|３|mucukasi osu naa hee hoNmani sojakedomo ma sizeNto nee （１ hNN） aNzjoo iku jooni narimaqsjaro|むずかしい　です　ねえ　ほんとに。ですけども　ま　自然に　ね　うまく　いく　ように　なるでしょう。
1105204|１|soo desu naa jaqpari kono isoidara moo|そう　です　ね　やっぱり　急いだら…　もう。
1105205|３|Nde maa seezee anoo isoidara （１ hNN） akaNte jahaNnode mo isoazuni nee ma juqkurito beNkjo sasite moraoto omootemasunja NN de mata anoo ma iroirona katani omeni kakarerusi anoo konaidamo hakujuusaNnoNdemo （１ hNN） mata anoo nee soraisaNdemo anoo doqkae curetaejoqte juute kureteharimasusi mata ohanasi kikasite moraiatera mata ee （１ haa） saajaka naa  a jaseno hoe cureteaeru juuteharimasitajaro（１ hNN） soide a mata sonotoki iqsjoni mata curete moraimasu （１ haahaa） hoNde nee ano mata iroirona ee ohanasi kikasite morote ano icinici mata tanosimasite moraoto omote nee omotemasu|それで　まあ　せいぜい　あの　急いだら　いけないと　おっしゃるので　もう　いそがずに　ねえ　まあ　ゆっくりと　勉強　させて　もらおうと　思っていますの。ん　で　また　あの　ま　いろいろな　かたに　お目に　掛かれるし、あの　こないだも　はくゆうさんのでも　また　あの　ね、白井さんでも　あの　どこかへ　つれていってあげようって　いって　くださっていますし、また　お話を　聞かせて　もらいがてら　また　ええ　嵯峨　八瀬の　方へ　つれていってあげると　言っていらっしゃいましたでしょう。それで　あ　また　そのとき　一緒に　また　つれていって　もらいます。それで　ね　あの　また　いろいろな　いい　お話を　聞かせて　もらって　あの　一日　また　楽しませて　もらおうと　思って　ね、思っています。
1105215|１|watasimo nee （３ ee） ano hakujuusaNno tokini nee （３ hee） sooju huna joteo tatetetara （３ hNN） mata sore ciote kimasitadesjo （３ haahaa ee） Nde ma ciau tokino koo iroiroto koo joteeo tateteoitakate jaqpari sono toori（３ soo dosu hNN） naraN kotoN ooidesuwa naa|わたしも　ね、あの　はくゆうさんの　時に　ね、そういう　ふうな　予定を　立てていたら　また　それが　違って　きましたでしょう。それで　ま　違う　ときの　こう　いろいろと　こう　予定を　立てておいても　やっぱり　その　とおりに　（３　そう　です）　ならない　ことが　多いですよ　ねえ。
