（２）土佐のオナゴのよもやま放談

録音日時　１９６７年１月８日
録音場所　農家（高知市朝倉米田）

話し手
（略号）　（氏名）　（性別）　（生年）　（職業）　（居住歴）
　Ｋ　　　川添繁尾　　女　　明治２７年生　製米業　高知市朝倉でうまれ、２３才から                                                  １０年ぐらい神戸居住、以後朝倉　Ｓ　　　栄枝千代　　女　　大正元年生　　農業　　高知市朝倉でうまれ、１９才から                                                  ６年間香川県居住、以後朝倉
　Ｘ　　　不明

解説：　七十台と五十台との婦人が、服装・食物・家のあかり、神祭その他について、思い出を興味深く語る。マッコト・タマルカなど強調的な語いが随所にあふれ、きかぬ気の土佐人気質を反映している。
［注］この会話にはoverlapがしばしばあらわれる。意気投合した者同志が話をしていて、話が調子に乗って来るとこうした現象をおこすのは、むしろ自然の行き方かも知れない。

0502516|Ｓ|taberu moNmo ti~go:tazejo maqkoto［30］ mukasito imato ju:tara maqkoto ti~go:tazejo mukasja|たべる　ものも　違ったよ。まことに　昔と　今と　言ったら、まことに　違ったよ。昔は、 |［30］makotoとも。男女を問わず、土佐人同士の会話によく現れる副詞。これも土佐人が強調的に物を言おうとする傾向の反映である。
0502602|Ｋ|mukasijaqtara itibaN e: sai~ga taimono korobasi horja horja horja taimono korobasijo|昔だったら　一番　よい　おかずが　里いもの　ころばし〔里いもに砂糖を入れて煮たもの〕。ほら　ほら　ほら　里いもの　ころばしよ。
0502604|Ｓ|sono taimono korobasi~ga kirai~de hanenoke hanenokesite kuta~ga ma: mukasiwa nimono daikono nimono~gurai~ga sekinojamakajo|その　里いもの　ころばしが　きらいで、はねのけ　はねのけして　食ったが、まあ　昔は　煮物、大根の　煮物ぐらいが　関の山かよ。
0502607|Ｋ|N:N daikono nimono~ga sekinojama se:kara misoziruto ju:tara horja uti~de tuNko tuNko tuite ma~da misomo meqso: maziraNgano mjo:ni ko:zikusaijo:na~ga~de horja se:kara sjo:ju［31］ ju:tara miNna uti~de tukurijoqtaki|んーん　大根の　煮物が　関の山。それから　みそしると　言ったら、ほら　うちで　つんこ　つんこ　ついて　まだ　みそも　あまり　まじらないのの　変に　こうじ臭いようなので　ほら。それから　醤油‘しょうゆ’と　言ったら、みんな　うちで　つくっていたから。|［31］土佐ではsjo:ju:と、endingを引き音にするのが一般。
0502612|Ｓ|uti miNna kau koto~ga arumoNka|うち　皆　買う　ことが　あるもんか。
0502613|Ｋ|kau kota zenjo tukau kota nakaqta zenjo tukauti daitai mo:ke hitotumo nai~ga~djaki horja hoNde ko: ku･ moNmo ti~go:ta ima~goro nanja:ro jo:sjoku~dja kare:~dja naNdja ju:keNdo kare:~dja omaN naNdja: ju:tati arja mukasino ozijazejo  《笑声》 keNdo imano kowa tjaNto omaN kono~goro ano nani: ite mi:ja kahue~demo ite mi:ja tja:Nto omaN itekara kosjo kaketekara omaN mukasino koto ti~go:te arjo ku: koto siqtju:kini|買う　ことは、金銭を　使う　ことは、なかった。銭を　使うたって、だいたい　もうけ　ひとつも　無いのだから　ほら。それで　こう　食う　ものも　違った。今頃　何とか　洋食だ　カレーだ　何だと　言うけれど、カレーだ　あなた　何だと　言っても、あれは　昔の　おじやだよ。　《笑声》　けれど　今の　子は　ちゃんと　あなた　このごろ　あの　何へ　行って　ごらん。カフエでも　行って　ごらん。ちゃんと　あなた　行ってから　腰を　かけてから、あなた　昔の　子と　違って　あれを　食う　ことを　知っているから。
0502707|Ｓ|siqtju:|知っている。
0502708|Ｋ|taka: jaqta moNzejo: maqkoto korja koko zju:neN sitara do: naruro･no:si makoto doNna moN kui~dasuro･no･ naNbo ju:tati komjo kuwaN naruzejo|まったく　でかした　ものだよ。ほんとに。これは　ここ　十年　たったら　どう　なるだろうね、実際。どんな　もの　食いだすだろうね。何と　言ったって　米を　食わんように　なるよ。
0502712|Ｓ|torino maruqta~demo jaite ku:ba:ni nara:jo omaNmo|鳥の　丸ったでも　焼いて　食うくらいに　ならあよ　あなたも。
0502714|Ｋ|hoNde ate~ga ima horja maqkotono koto~ga komjo tukiju:ro: 〔nizju:nineN〕 jarukeNdone: maineN maineN doqsari komeno tuku rjo:~ga heqte kitaki miNna: komjo kuwaNjo:ni naqtawajo|それで　わたしが　今　ほら　ほんとの　ことが　米を　ついているだろう、〔二十二年〕　やるけんどねえ、毎年　毎年　どっさり　米の　つく　量が　へって　来たから　みんな　米を　食わんように　なったわよ。
0502803|Ｓ|paNo ku:kajo|パンを　食うかよ。
0502804|Ｋ|i: paNdja: ra:meNdja: nanja:ro~dja ju:te soNna moNbaqkari kutekara komjo rokuni kuwaNzejo|いー　パンだ、ラーメンだ、何やらだと　言って　そんな　ものばかり　食ってから　米を　ろくに　食わんよ。
0502807|Ｓ|mukasja mu~gimesja kuijoqta~gano:|昔は　麦飯は　食っていたがねえ
0502808|Ｋ|mu~gimesi mu~gimesi mu~gimesima~de e:keNdo omaN mada taimomesi|麦飯　麦飯　麦飯まで　よいけれど、あなた　まだ　里いもめし。
0502810|Ｓ|taimomesi imomesi|里いもめし　いもめし。
0502811|Ｋ|sore: sio iretekara omaN sio~garo:te tja: iretara bokaboka hokahoka imobaqkari~ga uite horja|それへ　塩を　入れて、あなた　塩がらくて、茶を　入れたら　ぼかぼか　ほかほか　いもばかりが　浮いて　ほら。
0502814|Ｓ|nukui utinara e:keNdo hijo: naqtara korokoro korokoro soti ma:si koti ma:si hanete|ぬくい　うちなら　いいけれど　寒く　なったら、ころころ　ころころ　そっち　廻し　こっち　廻し、はねて。
0502816|Ｋ|se:kara horja oka:~ga oka:~ga mesjo joso:te kureru tokinja horja imono keo imono keo suteta aho: ju:mai otojaNni siroi mesjo kuwasanja ikaNkini omaNra~ga imo kutjoqtara e:~dja: ju:tekara maqkoto geni sono soNna koto ju:keNdo makoto hoNna koto ju:ke~do sono zibuNni so: ju:jo:na he~go:na mono: kute kita ko~ga moqto djo:buni aqtane:|それから　ほら　おっかあが　おっかあが　めしを　よそって　くれる　ときには　ほら、いもの　毛を、いもの　毛を　捨てた〔ら〕、あほう　言いなさるな、おとうさんに　白い　飯を　食わさねば　いけないから、あなたたちが　いも　食っていたら　いいだとか　言ってから、ほんとに　実に　その　そんな　こと　言うけれど　まことに　そんな　こと　言うけれど、その　時分に　そう　いうような　よくない　ものを　食って　来た　子が　もっと　丈夫に　あったねえ。
0502908|Ｓ|so:~dja imano kowane:|そうだ、今の　子はねえ。
0502909|Ｋ|imano kowa aNmarikoto hoNto･ Nmai moNdja naNdja kore~ga zijo:~dja kore~ga zijo:~dja ju:te kuwasukeNdo warikata jowaizejo|今の　子は　あまり　本当に　うまい　ものだ　なんだ、これが　滋養だ、これが　滋養だと　言って　食わせるけれど、わりかた　弱いよ。
0502912|Ｓ|so: juwa: tosijoriwa naNdemo kuwanja ikaN…|そう　言うよ、年よりは。何でも　食わねば　いけない…
0502913|Ｋ|naNdemo kuwanja ikaN naNdemo kuwanja ikaNto ju:|何でも　食わなきゃ　いけない　何でも　食わなきゃ　いけないと　言う。
0502915|Ｓ|wari: kota: nakaqta~ga imano kowa e: mono kute ano warui|悪い　ことは　無かったが、今の　子は　よい　もの　食って　あの　悪い
0503001|Ｋ|N zuqto makoto bjo:siNnakine: de jaqpari mukasimitajoni taimo kutari karaimo: mu~gimesjo kutarisitekara hutoraita moNga zuqto djo:bunaki sono ho:~ga zuqto e:zejo|ん　ずっと　ほんとに　病身だからねえ、で　やっぱり　昔みたよに　里いもを　食ったり　さつまいもを　麦飯を　食ったりしてから　ふとらせた〔生育させた〕　者が　ずっと　丈夫だから。その　方が　ずっと　よいよ。
0503005|Ｓ|sorekara kono~goro hora deNka deNka deNkaka~dja ju:te deNkimono deNkimonobaqkasi|それから　この頃　ほら　電化　電化　電化化だと　言って　電気もの　電気ものばっかり。
0503007|Ｋ|so:jo zenjobaqkari tuko:te|そうよ、ぜにをばっかり　使って。
0503008|Ｓ|mukasjo mite mi:ja raNpu|昔を　見て　ごらん、ランプ。
0503009|Ｋ|raNpu|ランプ。
0503010|Ｓ|h~u:|ふーん。
0503011|Ｋ|ateNkurane: makoto sono zibuNnja|わたしのうちなどはねえ、ほんとに　その　時分には、
0503012|Ｓ|atera:|わたしなどは、
0503013|Ｋ|raNpuno so:~djo saserareturo:~gajo|ランプの　掃除を　させられたんだろうさ。
0503014|Ｓ|deNki~ga tuita~ga ate~ga omaN ikutuba:no toki~djaqturo:no: so:~dja itutuka muqtuba:no toki~djaqturoka|電気が　ついたのが　わたしが　あなた　いくつぐらいの　ときだったろうねえ。そうだ　五つか　六つぐらいの　ときだったろうか。
0503101|Ｋ|biqkurisituro･|びっくりしたろう。
0503102|Ｓ|sono tokinja maqkoto biqkurisita ako: naqte|その　ときには　まことに　びっくりした。明るく　なって。
0503104|Ｋ|ako: 《笑声》 keNdo omaNra ma~da so: ju:keNdone: atera ko~domono tokinja aNdo~djaqta~dejo aNdo aNdo|明るく　《笑声》　けれど　あなたなんか　まだ　そう　いうけれどねえ、わたしなど　こどもの　ときには　行燈〔あんどん〕だったよ、あんど、あんど。
0503107|Ｓ|atera: aNdowa siraN|わたしなど　あんどは　知らん。
0503108|Ｋ|siraNro･ sono tokinjane: ano: aNdo~dene: N:kara joru hora miNna ko~domojara~ga sjo:beNni okosanja ikaNro: sono tokini hora suqto deNki~djaqtara suqto tuku keNdo raNpu~dja ju:tara omaN kesitjouro:~gajo omaN hojao ue: a~getjoite siNo tukete sijoqtara kowairo: soNdjakinine: ano to:siNto ju: hora aburae tuketa aterano tokinja aNdo~djaqtaki: hoNde deNki~djaqtara omaN suqto ima hineqtara tukuro:~gajo taka: keNdo zeitakuni naqta moNzejo: hoNde miNna･ ima tosi~ga: maenja gozju:neNdjaqtake~do ima sitizju:neNdja ju:keNdone: imano hita moqto bjo:ki~ga dekita keNdo do: mouzejo omaNra deNkika deNkika ju:te zenja na:Nbo~demo irukeNdo ma: omaNra aterakara mitara daibu wakaikeNdo soro:~dono ko:ka~ga aruto omoukajo|知らないだろう　その　ときにゃねえ　あの　あんどんでねえ。それから　夜　ほら　みんな　こどもなどが　小便に　起こさねば　いけないだろう。その　ときに　ほら　すっと　電気だったら、すっと　つく　けれど、ランプだなんて　言ったら　あなた　消しているだろうさ、あなた。ほや〔ランプの外側の球〕を　上へ　あげておいて　しんを　つけて　していたら　あぶないだろう。それだからねえ　あの　燈心と　いう　ほら　油へ　つけた。わたしたちの　ときにゃ　あんどだったから、それで　電気だったら　あなた　すっと　今　ひねったら　つくだろう。たいそう　しかし　ぜいたくに　なった　ものだよ。それで　みんな　今　年が　前には　五十年だったけれど、今　七十年だと　言うけれどねえ。今の　人は　もっと　病気が　できた。けれど　どう　思うの　あなたなど　電気化　電気化と　言って、ぜには　いくらでも　いるけれど、まあ　あなたなど　わたしなどから　見たら　だいぶ　若いけれど、それほどの　効果が　あると　思うかね。0503209|Ｓ|hono kari mukasiwa hora zenimo omaN to:hu~ga saNseNba:~de kaejoqta zibuNdja:kini|その　かわり　昔は　ほら　ぜにも　あなた　豆腐が　三銭ぐらいで　買えていた　時分だから。
0503211|Ｋ|so:jo so:jo hijo:tiNga sitiziqseN sitiziqseN kome~ga zju:saNseN-goriNba:~djaqtaki atera makoto osikoku-heNroni ita~ga|そうよ、そうよ　日傭〔よう〕賃が　七十銭　七十銭　米が　十三銭五厘ぐらいだったから。わたしなど　ほんとに　御四国遍路に　行ったが。
0503214|Ｓ|imano hitoni ju:tati omaN hoNto:ni surukajo:|今の　人に　言っても、あなた　本当に　するものか。
